Origin,Destination,Aircraft_Code,Engine_Code,Distance_km,Fuel_Burn_kg,CO2_kg,Weather_Penalty_Index,Adjusted_Fuel_Burn_kg,Adjusted_CO2_kg,Callsign,FlightDate,Holding_Loop_Detected,Altitude_Drift,Unplanned_Reroute,Deviation_km,RTK,CO2_per_RTK,Predicted_CO2_per_RTK,esg_match_percent,SHAP_Top_Feature,route_efficiency_score,fuel_savings_if_alt_route,recommended_reroute_flag,suggested_reroute_distance_km,suggested_reroute_co2_saving_kg,ESG_Benchmark_Score,Seat_Count,Estimated_Passengers,ASK,RPK,Revenue,Yield_USD_per_RPK,callsign,number,aircraft_uid,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0309509658919663,34991.323407553864,110572.5819678702,EY3247,2027-01-20,False,,False,0.0,196523.83,562.64,0.5337429692165399,97.27751919188272,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0258574121609094,47112.53165780517,148875.60003866436,EY9161,2025-12-26,False,,True,234.15727588923423,273669.9,544.0,0.5207892023836797,94.93269630608826,Distance_km,0.923,147.99,0.0,2806.619416080552,147.99,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
VECC,OMDB,B77W,GE90-115B,3365.806645906652,50833.9757617544,160635.3634071439,0.0257241437087825,52141.636259538536,164767.5705801418,EY5379,2026-10-21,False,,False,0.0,302922.6,543.93,0.5316668188672409,97.7336869826389,Distance_km,1.0,0.0,0.0,3365.806645906652,0.0,PASS,368.0,294.40000000000003,1238616.845693648,990893.4765549186,118907.21718659022,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0247325077890402,47060.87039162584,148712.35043753765,EY2320,2025-06-06,False,,False,0.0,273669.9,543.4,0.536925273769315,95.79860927569575,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0221314124365195,34691.98051203338,109626.65841802549,EY9315,2025-11-11,False,,False,0.0,196523.83,557.83,0.5161978567165132,95.29190797841228,Distance_km,1.0,0.0,0.0,2183.5981570754825,0.0,PASS,368.0,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,,,,,,,,,,,,,,,
HECA,OMDB,B77W,GE90-115B,2415.4452915944203,36480.61232396768,115278.73494373786,0.0365022187676601,37812.23561579535,119486.6645459133,EY9427,2027-06-11,False,,False,0.0,217390.08,549.64,0.5190931413610498,93.24289487822492,Distance_km,1.0,0.0,0.0,2415.4452915944203,0.0,PASS,368.0,294.40000000000003,888883.8673067467,711107.0938453975,85332.8512614477,0.12,,,,,,,,,,,,,,,
VRMM,OMDB,B77W,GE90-115B,3040.7766919697865,45925.02924803686,145123.09242379648,0.0236250588980976,47010.01076891858,148551.63402978273,EY3916,2027-04-07,False,,False,0.0,273669.9,542.81,0.5093111018040892,93.52794967611926,Distance_km,1.0,0.0,0.0,3040.7766919697865,0.0,PASS,368.0,294.40000000000003,1119005.8226448814,895204.6581159052,107424.55897390864,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13569.629391577411,42880.02887738463,0.0307980061442398,13987.54692095427,44200.6482702155,EY4170,2027-06-22,False,,False,0.0,78570.74,562.56,0.5145429089330716,94.4591628671224,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
EHAM,OMDB,B77W,GE90-115B,5168.63641597926,80338.85215049174,253870.772795554,0.0266999167858331,82483.89281757922,260649.1013035504,EY4251,2026-07-14,False,,False,0.0,465177.28,560.32,0.5122296527253712,94.22535554513205,Distance_km,1.0,0.0,0.0,5168.63641597926,0.0,PASS,368.0,294.40000000000003,1902058.201080368,1521646.5608642944,182597.5873037153,0.12,,,,,,,,,,,,,,,
OERK,OMDB,B77W,GE90-115B,873.0082487769301,13185.094934704375,41664.89999366583,0.039021266146976,13699.59403332462,43290.7171453058,EY5435,2026-08-06,False,,False,0.0,78570.74,550.98,0.5212035585291591,94.8497142823131,Distance_km,1.0,0.0,0.0,873.0082487769301,0.0,PASS,368.0,294.40000000000003,321267.0355499103,257013.62843992823,30841.63541279139,0.12,,,,,,,,,,,,,,,
