Origin,Destination,Aircraft_Code,Engine_Code,Distance_km,Fuel_Burn_kg,CO2_kg,Weather_Penalty_Index,Adjusted_Fuel_Burn_kg,Adjusted_CO2_kg,Callsign,FlightDate,Holding_Loop_Detected,Altitude_Drift,Unplanned_Reroute,Deviation_km_x,RTK,CO2_per_RTK,Predicted_CO2_per_RTK,esg_match_percent,SHAP_Top_Feature,route_efficiency_score,fuel_savings_if_alt_route,recommended_reroute_flag,suggested_reroute_distance_km,suggested_reroute_co2_saving_kg,ESG_Benchmark_Score,Seat_Count,Estimated_Passengers,ASK,RPK,Revenue,Yield_USD_per_RPK,Anomaly_Score,Deviation_km_y
VECC,OMDB,B77W,GE90-115B,3365.806645906652,50833.9757617544,160635.3634071439,0.0258545519582925,52148.26542933326,164788.5187566931,EY3575,2027-04-18 16:00:00,False,,False,0.0,302922.6,544.0,0.500689104463857,92.11163383773138,Distance_km,1.0,0.0,0,3365.806645906652,0.0,PASS,368,294.40000000000003,1238616.845693648,990893.4765549186,118907.21718659022,0.12,0.0103133891312913,0.0
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.0313567633957599,35005.09650847039,110616.10496676643,EY9113,2027-06-03 16:00:00,False,Low,False,0.0,196523.83,562.86,0.5063921315471976,93.2889932974871,Distance_km,1.0,0.0,0,2183.5981570754825,0.0,PASS,368,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,0.0245398570586261,0.0
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,33940.82217797798,107252.9980824104,0.036875607667071,35192.41062051092,111208.01756081452,EY6104,2025-09-16 17:00:00,False,,False,0.0,196523.83,565.88,0.5231908720056037,96.23554519139712,Distance_km,1.0,0.0,0,2183.5981570754825,0.0,PASS,368,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,0.0380999288877485,0.0
VABB,OMDB,B77W,GE90-115B,1926.162367196581,29939.36140635439,94608.38204407987,0.02434545043603,30668.248645559182,96911.66571996702,EY4335,2025-12-13 22:00:00,False,,False,0.0,173354.61,559.04,0.5049191899131129,92.57802875482498,Distance_km,1.0,0.0,0,1926.162367196581,0.0,PASS,368,294.40000000000003,708827.7511283418,567062.2009026735,68047.46410832083,0.12,0.0303436937712354,0.0
OIIE,OMDB,B77W,GE90-115B,1199.8636074996691,18121.610644279703,57264.28963592387,0.0273575420392085,18617.37336929875,58830.89984698406,EY6770,2026-04-23 04:00:00,False,,False,0.0,107987.72,544.79,0.5081345138084634,92.8315088637486,Distance_km,1.0,0.0,0,1199.8636074996691,0.0,PASS,368,294.40000000000003,441549.8075598782,353239.84604790265,42388.78152574832,0.12,0.0680409048628425,0.0
OLBA,OMDB,B77W,GE90-115B,2140.680300053112,32330.82049407273,102165.39276126985,0.0302051960417552,33307.379265287,105251.31847830692,EY6257,2025-10-18 19:00:00,True,,False,123.7392114215605,192661.23,546.3,0.5127494333847155,94.22651618019157,Distance_km,0.9422,78.2,0,2016.941088631552,78.2,PASS,368,294.40000000000003,787770.3504195453,630216.2803356363,75625.95364027636,0.12,0.0175733572598836,123.7392114215605
HECA,OMDB,B77W,GE90-115B,2415.4452915944203,37544.54493240644,118640.76198640437,0.0303257350866309,38683.11085597471,122238.63030488008,EY6815,2026-06-15 01:00:00,False,,False,0.0,217390.08,562.3,0.5325952097718184,97.44682896851072,Distance_km,1.0,0.0,0,2415.4452915944203,0.0,PASS,368,294.40000000000003,888883.8673067467,711107.0938453975,85332.8512614477,0.12,0.0500321761183536,0.0
LTFM,OMDB,B77W,GE90-115B,3028.340480393419,45737.20441305712,144529.56594526052,0.0378167629830451,47466.83743185279,149995.20628465482,EY2893,2027-02-18 00:00:00,False,,False,0.0,272550.64,550.34,0.5237913047125007,96.31444055254492,Distance_km,1.0,0.0,0,3028.340480393419,0.0,PASS,368,294.40000000000003,1114429.296784778,891543.4374278226,106985.21249133872,0.12,0.0079766921889128,0.0
VIDP,OMDB,B77W,GE90-115B,2183.5981570754825,32979.01141326143,104213.67606590613,0.0222084889354564,33711.42542333514,106528.10433773905,EY5831,2025-04-18 05:00:00,False,,False,0.0,196523.83,542.06,0.5254132475557904,96.59435330190152,Distance_km,1.0,0.0,0,2183.5981570754825,0.0,PASS,368,294.40000000000003,803564.1218037775,642851.2974430221,77142.15569316265,0.12,0.0101284631081031,0.0
OKBK,OMDB,B77W,GE90-115B,853.9770187554841,12897.665148206352,40756.62186833208,0.0334200833010748,13328.70619184878,42118.71156624215,EY7811,2027-04-28 01:00:00,False,,False,0.0,76857.93,548.01,0.5101107002684464,93.09175710281612,Distance_km,1.0,0.0,0,853.9770187554841,0.0,PASS,368,294.40000000000003,314263.5429020182,251410.83432161456,30169.300118593743,0.12,0.0725383842805127,0.0
